                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.9127,                 1.8672,                 1.4753,                0.36826,                0.45521,                0.31073,                0.10673,                 2.2026,                 2.0144,                  1.746,              0.0083311,              0.0083311,              0.0083311
                     61,                 1.9059,                 1.8198,                 1.4291,                0.33112,                0.45096,                0.27367,                0.09363,                 2.1948,                 2.1582,                 1.7365,              0.0083029,              0.0083029,              0.0083029
                     62,                 1.9093,                 1.9608,                 1.4841,                0.33814,                0.43057,                0.28227,                0.09722,                  2.239,                 2.0874,                 1.7261,              0.0082746,              0.0082746,              0.0082746
                     63,                 1.9351,                 1.9049,                 1.4993,                0.35538,                 0.4298,                0.28891,                0.10031,                 2.2117,                 2.0751,                 1.7316,              0.0082463,              0.0082463,              0.0082463
                     64,                 1.9012,                 1.8672,                 1.4557,                 0.3516,                0.44968,                0.27548,                0.09432,                   2.25,                 2.0542,                 1.7576,               0.008218,               0.008218,               0.008218
                     65,                 1.9308,                 1.8888,                 1.4611,                0.38775,                0.41019,                0.28224,                0.09725,                 2.2047,                 2.1317,                 1.7386,              0.0081897,              0.0081897,              0.0081897
                     66,                 1.9247,                 1.8461,                 1.4392,                0.24501,                0.37707,                0.19154,                0.06641,                 2.2626,                 2.2866,                 1.7652,              0.0081614,              0.0081614,              0.0081614
                     67,                 1.9131,                 1.8573,                 1.4516,                0.34939,                0.46242,                0.28607,                0.09631,                  2.214,                 2.0783,                 1.7368,              0.0081331,              0.0081331,              0.0081331
                     68,                 1.9302,                 1.7664,                 1.4706,                0.31962,                0.38854,                0.24647,                0.08651,                 2.2674,                  2.196,                 1.7761,              0.0081049,              0.0081049,              0.0081049
                     69,                 1.8794,                 1.7672,                 1.4168,                0.28307,                0.40637,                0.23382,                0.08193,                 2.2151,                 2.2232,                 1.7613,              0.0080766,              0.0080766,              0.0080766
                     70,                 1.8727,                 1.7557,                 1.4418,                0.30082,                0.40764,                 0.2339,                0.07282,                 2.3664,                 2.1802,                 1.8702,              0.0080483,              0.0080483,              0.0080483
                     71,                 1.8927,                 1.7642,                 1.4386,                0.33471,                0.41911,                0.27012,                 0.0967,                 2.2061,                 2.0745,                 1.7592,                0.00802,                0.00802,                0.00802
                     72,                 1.8758,                 1.8523,                 1.4738,                 0.3089,                0.41656,                0.24575,                0.07889,                 2.2871,                 2.1715,                   1.84,              0.0079917,              0.0079917,              0.0079917
                     73,                 1.8507,                 1.6985,                 1.4188,                 0.3366,                0.40396,                0.26158,                0.09085,                 2.2436,                 2.1855,                 1.7684,              0.0079634,              0.0079634,              0.0079634
                     74,                 1.8706,                 1.7588,                 1.4578,                0.26451,                0.38854,                0.21259,                0.07112,                 2.2684,                 2.1975,                 1.7929,              0.0079351,              0.0079351,              0.0079351
                     75,                 1.8771,                  1.728,                  1.449,                0.35064,                 0.4251,                0.27197,                0.08883,                 2.2923,                 2.1099,                 1.8208,              0.0079069,              0.0079069,              0.0079069
                     76,                 1.8775,                  1.704,                 1.4222,                0.35191,                0.39704,                0.27497,                0.09522,                 2.2254,                 2.1274,                 1.7672,              0.0078786,              0.0078786,              0.0078786
                     77,                 1.8359,                 1.6764,                 1.4138,                0.36384,                0.38217,                0.26936,                0.09444,                 2.2005,                 2.1438,                 1.7719,              0.0078503,              0.0078503,              0.0078503
                     78,                 1.8473,                 1.6948,                 1.4248,                0.33694,                0.40127,                0.25828,                0.09108,                 2.2008,                  2.114,                 1.7525,               0.007822,               0.007822,               0.007822
                     79,                 1.8401,                 1.7413,                 1.4172,                0.31397,                0.41274,                 0.2451,                0.08033,                  2.291,                 2.1469,                 1.8249,              0.0077937,              0.0077937,              0.0077937
                     80,                 1.8551,                 1.7131,                 1.4267,                0.32759,                0.36306,                0.24794,                0.07854,                 2.3421,                 2.2509,                 1.8422,              0.0077654,              0.0077654,              0.0077654
                     81,                 1.8477,                 1.7268,                 1.4439,                0.33041,                0.36433,                0.24071,                0.09007,                 2.1833,                 2.2744,                 1.7694,              0.0077371,              0.0077371,              0.0077371
                     82,                 1.8375,                 1.7001,                 1.4195,                0.32935,                 0.3949,                0.24636,                0.08294,                 2.2679,                  2.247,                 1.8185,              0.0077089,              0.0077089,              0.0077089
                     83,                 1.8451,                 1.6715,                 1.4101,                0.38558,                0.40255,                0.29858,                0.11075,                 2.1867,                 2.0789,                 1.7636,              0.0076806,              0.0076806,              0.0076806
                     84,                 1.8107,                 1.6693,                 1.3962,                 0.4212,                0.41274,                0.32708,                0.12206,                 2.2059,                 1.9628,                 1.7635,              0.0076523,              0.0076523,              0.0076523
                     85,                 1.8241,                 1.6584,                 1.3915,                0.41731,                0.38318,                0.30112,                0.11304,                 2.2317,                 2.2249,                  1.785,               0.007624,               0.007624,               0.007624
                     86,                 1.8266,                 1.6313,                 1.4198,                 0.3449,                0.38967,                0.26456,                0.09108,                 2.2807,                 2.1567,                  1.816,              0.0075957,              0.0075957,              0.0075957
                     87,                 1.8564,                 1.6281,                 1.3891,                0.36084,                0.33503,                0.24984,                0.08442,                 2.3075,                 2.3629,                 1.8136,              0.0075674,              0.0075674,              0.0075674
                     88,                 1.7919,                 1.6004,                 1.3843,                0.33808,                0.40127,                0.27631,                0.08952,                 2.3558,                 2.2149,                 1.8412,              0.0075391,              0.0075391,              0.0075391
